City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,8.79,61,20,1.54,AR,1678725868
1,grindavik,63.8424,-22.4338,-3.74,50,20,11.32,IS,1678725868
2,arraial do cabo,-22.9661,-42.0278,30.98,70,75,7.2,BR,1678725868
3,kandrian,-6.2167,149.55,25.7,85,100,1.01,PG,1678725870
4,kristiansund,63.1115,7.732,0.03,86,100,7.72,NO,1678725873
5,mwinilunga,-11.7358,24.4293,18.41,92,98,1.23,ZM,1678725873
6,korla,41.7597,86.1469,10.87,27,69,3.43,CN,1678725874
7,vaini,-21.2,-175.2,26.09,89,20,3.6,TO,1678725632
8,ribeira grande,38.5167,-28.7,17.65,88,40,6.71,PT,1678725874
9,bodden town,19.2833,-81.25,29.0,61,20,5.66,KY,1678725875
10,ingham,42.6,-84.3833,0.09,87,100,2.06,US,1678725875
11,atuona,-9.8,-139.0333,26.25,78,27,3.85,PF,1678725875
12,mar del plata,-38.0023,-57.5575,32.01,58,0,5.66,AR,1678725777
13,butaritari,3.0707,172.7902,27.54,79,42,7.67,KI,1678725876
14,otane,-39.8833,176.6333,10.01,89,3,1.74,NZ,1678725876
15,agadez,19.75,10.25,29.25,9,48,3.23,NE,1678725877
16,vakhtan,57.9659,46.6889,-4.95,87,75,4.99,RU,1678725877
17,kikwit,-5.041,18.8162,23.62,84,96,0.82,CD,1678725877
18,guilin,25.2819,110.2864,10.06,41,79,1.02,CN,1678725877
19,cape town,-33.9258,18.4232,21.23,80,20,7.6,ZA,1678725732
20,port-gentil,-0.7193,8.7815,28.98,84,40,5.14,GA,1678725878
21,punta arenas,-53.15,-70.9167,9.06,53,75,8.23,CL,1678725647
22,hobart,-42.8794,147.3294,13.92,86,98,4.12,AU,1678725772
23,rikitea,-23.1203,-134.9692,26.7,81,92,7.13,PF,1678725879
24,malakal,9.5334,31.6605,33.37,19,60,1.58,SS,1678725879
25,egvekinot,66.3167,-179.1667,-24.79,87,35,2.75,RU,1678725879
26,castro,-24.7911,-50.0119,20.82,87,100,1.42,BR,1678725880
27,yellowknife,62.456,-114.3525,-25.71,76,20,2.06,CA,1678725651
28,daugavpils,55.8833,26.5333,0.64,97,100,6.69,LV,1678725880
29,alyangula,-13.8483,136.4192,27.43,76,90,3.73,AU,1678725881
30,iskateley,67.6803,53.1512,-3.6,86,99,10.75,RU,1678725881
31,busselton,-33.65,115.3333,15.5,92,88,2.85,AU,1678725881
32,vung tau,10.346,107.0843,23.72,82,64,9.77,VN,1678725882
33,avarua,-21.2078,-159.775,23.03,100,20,1.03,CK,1678725882
34,arvin,35.2091,-118.8284,17.74,73,45,1.23,US,1678725882
35,moche,-8.1711,-79.0092,28.1,83,75,4.63,PE,1678725883
36,khatanga,71.9667,102.5,-23.14,98,94,3.5,RU,1678725883
37,coahuayana,18.7333,-103.6833,29.51,48,2,2.16,MX,1678725883
38,hilo,19.7297,-155.09,26.27,90,20,1.54,US,1678725884
39,plettenberg bay,-34.0527,23.3716,19.67,75,0,1.6,ZA,1678725884
40,celestun,20.8667,-90.4,29.31,57,12,2.22,MX,1678725884
41,namibe,-15.1961,12.1522,24.61,72,41,5.24,AO,1678725885
42,gobabis,-22.45,18.9667,27.47,28,85,5.67,NA,1678725885
43,ancud,-41.8697,-73.8203,16.2,58,100,3.58,CL,1678725885
